Empresa,Empresa Limpa,Categoria,Pergunta,Nota,Observações
Acelera Metrô- Montechio,Montechio,1,A empresa possui controle de entrada e saída de caixa?,3,"Controle manual via BitBar/planilha; conciliações periódicas, porém retrabalho."
Acelera Metrô- Montechio,Montechio,2,Qual o nível de utilização de sistema (ERP/planilhas) para gestão?,3,Uso de BitBar (POS) como sistema principal; integração financeira limitada; avaliando Saipos.
Acelera Metrô- Montechio,Montechio,3,Tem DRE (Demonstrativo de Resultado do Exercício) mensal atualizado e utilizado?,3,DRE gerado mensalmente; utilização parcial para tomada de decisão.
Acelera Metrô- Montechio,Montechio,4,Possui CMV (Custo de Mercadoria Vendida) apurado mensalmente com precisão?,3,"CMV calculado, mas impactado por compras em grande lote e perdas; precisão pode melhorar."
Acelera Metrô- Montechio,Montechio,5,Tem fichas técnicas completas e atualizadas dos produtos/pratos?,4,Fichas técnicas existentes e padronizadas para a maioria dos produtos; revisão periódica.
Acelera Metrô- Montechio,Montechio,6,Tem controle de estoque com inventário periódico?,3,Inventário periódico; controle em planilhas; ocorrência de vencimentos identificada.
Acelera Metrô- Montechio,Montechio,7,"Possui e acompanha indicadores financeiros definidos (lucro, margem de contribuição, ticket médio, ponto de equilíbrio)?",3,"Acompanha indicadores básicos (faturamento, CMV, avaliações), porém sem painel consolidado."
Acelera Metrô- Montechio,Montechio,8,"Trabalha com precificação estruturada (considerando custos, concorrência, valor)?",4,Precificação estruturada em 7 categorias de pizza considerando custos e posicionamento.
Acelera Metrô- Montechio,Montechio,9,Tem dívidas/empréstimos ativos? Estão controlados e planejados?,4,"Dívidas/financiamentos sob controle, pagamentos em dia."
Acelera Metrô- Montechio,Montechio,11,A empresa conhece com clareza seu público-alvo/persona?,4,Cliente-alvo definido como público que valoriza qualidade gourmet e delivery premium.
Acelera Metrô- Montechio,Montechio,12,Possui um posicionamento definido (proposta de valor) e diferenciais competitivos claros e comunicados?,4,Posicionamento claro: pizzaria gourmet delivery de alta qualidade (melhor de Porto Alegre).
Acelera Metrô- Montechio,Montechio,13,Conhece e analisa periodicamente seus principais concorrentes?,3,Monitora concorrentes informalmente; sem análise estruturada.
Acelera Metrô- Montechio,Montechio,14,Participa de eventos ou ações de visibilidade local/setorial relevantes?,4,"Participa de eventos (competições de pizza, talk-show com influencer)."
Acelera Metrô- Montechio,Montechio,15,"Trabalha o storytelling da marca (história, propósito, origem) na comunicação?",4,"História/branding forte (Julieta→Montecchio), utiliza storytelling em comunicações."
Acelera Metrô- Montechio,Montechio,16,"Possui material institucional (cardápio, embalagens) bem apresentado e alinhado à marca?",4,"Materiais institucionais (cardápio, embalagens, site) profissionais e alinhados à marca."
Acelera Metrô- Montechio,Montechio,17,"Avalia o retorno das ações de marketing (comentários, avaliações online/offline)?",3,"Avaliação de retorno feita com métricas básicas e feedback, sem cálculo detalhado de ROI."
Acelera Metrô- Montechio,Montechio,18,A empresa mantém perfis ativos e estratégicos nas redes sociais relevantes?,4,"Perfis ativos no Instagram, Facebook e GMB; atualizados com frequência."
Acelera Metrô- Montechio,Montechio,19,"Há produção frequente e diversificada de conteúdo de qualidade (stories, reels, fotos, vídeos)?",3,"Conteúdo produzido regularmente pela agência, mas frequência ainda em ajuste."
Acelera Metrô- Montechio,Montechio,20,Há um responsável (interno/externo) com expertise gerenciando as redes sociais?,4,Agência M&E responsável por marketing digital e tráfego pago.
Acelera Metrô- Montechio,Montechio,21,Tem um calendário editorial ou planejamento de conteúdo?,3,Calendário editorial básico; oportunidades para detalhar pautas e datas.
Acelera Metrô- Montechio,Montechio,22,Está atento e adapta conteúdos virais/tendências relevantes para a marca?,3,Adapta tendências esporadicamente; depende de agência.
Acelera Metrô- Montechio,Montechio,23,"Interage com o público (comentários, directs) de forma rápida e personalizada?",4,Interação frequente em comentários/DM; Rodrigo responde e cria relacionamento.
Acelera Metrô- Montechio,Montechio,24,Utiliza ferramentas e tem habilidade para edição de imagem e vídeo de qualidade?,4,Agência utiliza Canva/Adobe/CapCut; equipe interna usa recursos básicos.
Acelera Metrô- Montechio,Montechio,25,Tem estratégia e investimento em impulsionamento/tráfego pago?,3,Investimento em tráfego pago em fase de otimização; campanhas rodando.
Acelera Metrô- Montechio,Montechio,26,Trabalha com influenciadores ou parceiros digitais de forma estratégica?,4,Parcerias com influenciadores locais (Ico Thomas) em andamento.
Acelera Metrô- Montechio,Montechio,27,"Oferece links de fácil acesso (bio) para cardápio, contato e pedidos?",4,Links de cardápio e pedidos na bio e site próprio; acesso facilitado.
Acelera Metrô- Montechio,Montechio,28,"Possui canais de vendas digitais ativos e bem gerenciados (iFood, site, WhatsApp)?",4,"Canais digitais ativos: iFood, site próprio, WhatsApp Business."
Acelera Metrô- Montechio,Montechio,29,"Acompanha e utiliza métricas das redes sociais (alcance, engajamento, conversões) para otimizar?",3,Acompanha métricas de redes via relatórios da agência; melhorias possíveis.
Acelera Metrô- Montechio,Montechio,32,A empresa já utiliza alguma ferramenta de Inteligência Artificial de forma integrada no dia a dia?,2,Uso incipiente de IA; testes pontuais via agência para ideias de conteúdo.
Acelera Metrô- Montechio,Montechio,33,"Usa ferramentas como ChatGPT/Gemini para criar ideias, conteúdos ou resolver problemas?",2,ChatGPT/Gemini usados ocasionalmente para headlines e descrições.
Acelera Metrô- Montechio,Montechio,34,"Usa IA para gerar textos (descrições, posts, cardápios) com revisão humana?",2,Geração de imagens IA não utilizada de forma consistente.
Acelera Metrô- Montechio,Montechio,35,Utiliza IA para criação ou inspiração de imagens/elementos visuais?,1,Não utiliza chatbots/assistentes virtuais no atendimento.
Acelera Metrô- Montechio,Montechio,36,Utiliza assistentes virtuais ou chatbots para atendimento ao cliente?,1,
Acelera Metrô- Montechio,Montechio,38,Utiliza estratégias ativas e contínuas de prospecção ou vendas?,3,Prospecção ativa limitada; foco principal em inbound via delivery apps e redes sociais.
Acelera Metrô- Montechio,Montechio,39,Tem base de clientes organizada (preferencialmente CRM) e utilizada para relacionamento/vendas?,4,"Base de clientes organizada no BitBar, com dados de +5 mil contatos."
Acelera Metrô- Montechio,Montechio,40,Realiza ações estruturadas de fidelização ou recompra?,4,Programa de fidelidade integrado ao POS; ações de recompra.
Acelera Metrô- Montechio,Montechio,41,"Tem processos de atendimento e vendas padronizados, conhecidos e seguidos pela equipe?",4,Scripts de atendimento padronizados; processo de vendas definido.
Acelera Metrô- Montechio,Montechio,42,Trabalha com ações promocionais ou sazonalidades de venda de forma planejada e estratégica?,3,Promoções sazonais/eventos temáticos feitos pontualmente; sem calendário anual.
Acelera Metrô- Montechio,Montechio,43,"Faz parcerias estratégicas com canais locais, marketplaces ou distribuidores?",4,Parcerias estratégicas com influenciadores e empresas locais.
Acelera Metrô- Montechio,Montechio,44,Há definição clara e formalizada de funções e responsabilidades para todos os cargos?,4,Funções formalizadas e manuais de operação detalhados.
Acelera Metrô- Montechio,Montechio,45,Possui treinamentos recorrentes para desenvolver a equipe (técnico/comportamental)?,3,Treinamentos on-the-job; inexistência de plano anual estruturado.
Acelera Metrô- Montechio,Montechio,46,Os colaboradores possuem remuneração variável atrelada a metas/desempenho?,2,Remuneração variável limitada ou inexistente.
Acelera Metrô- Montechio,Montechio,47,Realiza reuniões periódicas eficazes com a equipe para alinhamento e comunicação?,3,"Reuniões operacionais e feedbacks ocorrem, mas sem agenda formal."
Acelera Metrô- Montechio,Montechio,48,Realiza pesquisa de clima organizacional e implementa planos de ação?,2,Não realiza pesquisa de clima de forma estruturada.
Acelera Metrô- Montechio,Montechio,49,Possui plano de carreira estruturado e transparente para os colaboradores?,2,preparam alguns funcionários para novos cargos
Acelera Metrô- Montechio,Montechio,50,"Existe uma cultura organizacional clara (Missão, Visão, Valores), disseminada e vivenciada?",3,Cultura de qualidade/confiança comunicada de forma informal.
Acelera Metrô- Montechio,Montechio,52,"Possui Manual de Boas Práticas (MBP), POPs exigidos pela VS, atualizados e em uso (com registros)?",5,"MBP, POPs e auditorias trimestrais por consultora externa."
Acelera Metrô- Montechio,Montechio,53,Tem controle e ações para redução de perdas e desperdícios?,3,"Monitoramento e ações de redução de perdas em curso, especialmente insumos perecíveis."
Acelera Metrô- Montechio,Montechio,54,"O layout da cozinha/produção permite fluxo adequado (""marcha avante""), evita contaminação cruzada e otimiza processos?",4,"Layout otimizado ao fluxo, apesar de limitações de espaço."
Acelera Metrô- Montechio,Montechio,55,"Utiliza sistema para gestão de pedidos, produção (KDS), atendimento e estoque?",3,"BitBar gerencia pedidos; integração produção parcial, sem automação completa."
Acelera Metrô- Montechio,Montechio,56,"Ocorrem compras emergenciais? Se sim, com qual frequência?",2,Compras emergenciais ainda ocorrem quando preços variam ou falta produto.
Acelera Metrô- Montechio,Montechio,57,Possui rotinas definidas e registradas (planilhas) de limpeza e segurança alimentar?,4,Rotinas diárias e checklists registrados em manuais.
Acelera Metrô- Montechio,Montechio,58,Possui plano e registros de manutenção preventiva e corretiva dos equipamentos?,3,Manutenção preventiva sem plano formal; correções realizadas quando necessário.
Bain Marie -METRÔ,Bain Marie,1,A empresa possui controle de entrada e saída de caixa?,2,
Bain Marie -METRÔ,Bain Marie,2,Qual o nível de utilização de sistema (ERP/planilhas) para gestão?,4,"faz os controles financeiros por planilha, utiliza pouco o ERP principalmente pelo controle do buffet do sttrip center teria que cadastrar muitos produtos "
Bain Marie -METRÔ,Bain Marie,3,Tem DRE (Demonstrativo de Resultado do Exercício) mensal atualizado e utilizado?,4,tem os indicadores todos medidos DRE bem estruturado mas nao atua nos indicadores 
Bain Marie -METRÔ,Bain Marie,4,Possui CMV (Custo de Mercadoria Vendida) apurado mensalmente com precisão?,3,"Calcula o cmv mensalmente, considerando as compras e não ficha tecnica.  "
Bain Marie -METRÔ,Bain Marie,5,Tem fichas técnicas completas e atualizadas dos produtos/pratos?,1,não tem ficha técnica hoje 
Bain Marie -METRÔ,Bain Marie,6,Tem controle de estoque com inventário periódico?,1,
Bain Marie -METRÔ,Bain Marie,7,"Possui e acompanha indicadores financeiros definidos (lucro, margem de contribuição, ticket médio, ponto de equilíbrio)?",4,"Utiliza para algumas tomadas de decisao, entendi que falta ações mais pontuais atuando pelos indicadores. "
Bain Marie -METRÔ,Bain Marie,8,"Trabalha com precificação estruturada (considerando custos, concorrência, valor)?",4,"Esta sempre atenta aos custos e aos preços praticados pelo mercado, principalmente ifood e concorrencia do shopping. "
Bain Marie -METRÔ,Bain Marie,9,Tem dívidas/empréstimos ativos? Estão controlados e planejados?,4,"Tem diversos financiamentos ativos e todos planilhados, no momento estão todos controlados e entendi que o restaurante esta cok resultado negativo e esta usando um vaçlor que tirou do ultimos emprestimo para cobrir as contas.  "
Bain Marie -METRÔ,Bain Marie,10,Qual sistema (ERP/planilhas) utiliza? (Nome específico),0,Teknisa
Bain Marie -METRÔ,Bain Marie,11,A empresa conhece com clareza seu público-alvo/persona?,2,"""definiu e matei"" resposta da empreendedora, nunca fez um trabalho estruturado de persona. "
Bain Marie -METRÔ,Bain Marie,12,Possui um posicionamento definido (proposta de valor) e diferenciais competitivos claros e comunicados?,3,"Tem um posicionamento definido com a frase ""comida de verdade"", mas explora pouco.  "
Bain Marie -METRÔ,Bain Marie,13,Conhece e analisa periodicamente seus principais concorrentes?,3,Esta atenta principalmente ao ifood e aos vizinhos no shopping. 
Bain Marie -METRÔ,Bain Marie,14,Participa de eventos ou ações de visibilidade local/setorial relevantes?,1,
Bain Marie -METRÔ,Bain Marie,15,"Trabalha o storytelling da marca (história, propósito, origem) na comunicação?",1,"o restaurante tem 25 anos de historia, comunicam principalmente o tempo, e pouco a historia. "
Bain Marie -METRÔ,Bain Marie,16,"Possui material institucional (cardápio, embalagens) bem apresentado e alinhado à marca?",2,
Bain Marie -METRÔ,Bain Marie,17,"Avalia o retorno das ações de marketing (comentários, avaliações online/offline)?",1,Nenhuma ação ativa no momento.
Bain Marie -METRÔ,Bain Marie,18,A empresa mantém perfis ativos e estratégicos nas redes sociais relevantes?,1,"Tem um perfil para cada loja, o mais atualizado é da loja João Walling mas ainda assim sem frequencia de postagens. "
Bain Marie -METRÔ,Bain Marie,19,"Há produção frequente e diversificada de conteúdo de qualidade (stories, reels, fotos, vídeos)?",1,
Bain Marie -METRÔ,Bain Marie,20,Há um responsável (interno/externo) com expertise gerenciando as redes sociais?,1,
Bain Marie -METRÔ,Bain Marie,21,Tem um calendário editorial ou planejamento de conteúdo?,1,
Bain Marie -METRÔ,Bain Marie,22,Está atento e adapta conteúdos virais/tendências relevantes para a marca?,1,
Bain Marie -METRÔ,Bain Marie,23,"Interage com o público (comentários, directs) de forma rápida e personalizada?",1,
