Empresa,Empresa Limpa,Média Geral
Diagnóstico_Pueblo,Pueblo,3.3793103448275863
Acelera Metrô- Montechio,Montechio,3.2452830188679247
Usina do Pastel -METRÔ,Usina do Pastel,3.1206896551724137
Diagnóstico_Boom,Boom,2.8793103448275863
Fornellone,Fornellone,2.7413793103448274
Povo Alegre,Povo Alegre,2.7241379310344827
Devolutiva_Tartoni,Tartoni,2.706896551724138
Devolutiva pizza napoletana,pizza napoletana,2.6379310344827585
Gambrinus -METRÔ,Gambrinus,2.310344827586207
Diagnóstico_Mayô,Mayô,2.189655172413793
Devolutiva RUA,RUA,2.0
Cor Café y Brasa,Cor Café y Brasa,1.9827586206896552
Bain Marie -METRÔ,Bain Marie,1.9655172413793103
Devolutiva choperia essencial,choperia essencial,1.8275862068965518
Bellona,Bellona,1.6379310344827587
Con Amor,Con Amor,1.293103448275862
